measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Czech Republic,Both,<1 year,Years,1991,71.94899800962926,72.02503880514627,71.87404092085387
Life expectancy,Hungary,Male,<1 year,Years,1991,65.24586569522518,65.33796972229094,65.15553587446084
Life expectancy,Hungary,Female,<1 year,Years,1991,74.04308417028605,74.15663129811352,73.92776451082699
Life expectancy,Hungary,Both,<1 year,Years,1991,69.5513162627404,69.62683061381739,69.47282631398065
Life expectancy,Macedonia,Male,<1 year,Years,1991,69.99224823701957,70.20886592792056,69.77260654720104
Life expectancy,Macedonia,Female,<1 year,Years,1991,74.77916471297193,75.02837714808338,74.536926521179
Life expectancy,Macedonia,Both,<1 year,Years,1991,72.28219370997026,72.45843635191838,72.1011038606514
Life expectancy,Montenegro,Male,<1 year,Years,1991,71.3144530886064,71.667275587417,70.9521236891362
Life expectancy,Montenegro,Female,<1 year,Years,1991,77.8220717087915,78.15487923904419,77.49477152274974
Life expectancy,Montenegro,Both,<1 year,Years,1991,74.57155235776423,74.8250029810708,74.30189528402795
Life expectancy,Poland,Male,<1 year,Years,1991,66.38043009430486,66.4313176320994,66.32855349019006
Life expectancy,Poland,Female,<1 year,Years,1991,75.59264198281434,75.65586604417352,75.53429570147779
Life expectancy,Poland,Both,<1 year,Years,1991,70.88304195559651,70.9262701873024,70.8399113474559
Life expectancy,Romania,Male,<1 year,Years,1991,67.03939660336559,67.11413915638893,66.9676051593514
Life expectancy,Romania,Female,<1 year,Years,1991,73.61120934268388,73.69508461803291,73.52836112196529
Life expectancy,Romania,Both,<1 year,Years,1991,70.25762381869616,70.31683220321976,70.201486057316
Life expectancy,Serbia,Male,<1 year,Years,1991,68.56347988530662,69.12240819243196,68.01210600809681
Life expectancy,Serbia,Female,<1 year,Years,1991,75.8357531573848,76.4640812587603,75.14342065681112
Life expectancy,Serbia,Both,<1 year,Years,1991,72.04595700654673,72.48479015706337,71.616023260583
Life expectancy,Slovakia,Male,<1 year,Years,1991,66.9607086385458,67.08439549280179,66.83014929189075
Life expectancy,Slovakia,Female,<1 year,Years,1991,75.51855368444923,75.6825526329699,75.35268141279559
Life expectancy,Slovakia,Both,<1 year,Years,1991,71.14469615386416,71.24356949831908,71.03627439514352
Life expectancy,Slovenia,Male,<1 year,Years,1991,69.57053898541804,69.75202032450639,69.38887948803534
Life expectancy,Slovenia,Female,<1 year,Years,1991,77.44971232095176,77.66262559938234,77.22352308768663
Life expectancy,Slovenia,Both,<1 year,Years,1991,73.6061247681957,73.74772826083253,73.45585154400818
Life expectancy,Belarus,Male,<1 year,Years,1991,65.52474355650563,65.73933344542553,65.28276027705796
Life expectancy,Belarus,Female,<1 year,Years,1991,75.50798056267762,75.70137170163373,75.28878659084205
Life expectancy,Belarus,Both,<1 year,Years,1991,70.67764971517758,70.87001871906895,70.45124823307691
Life expectancy,Estonia,Male,<1 year,Years,1991,64.16643246228661,64.3544191244078,63.97449751967973
Life expectancy,Estonia,Female,<1 year,Years,1991,74.71535408679482,74.96098131568573,74.46658993820314
Life expectancy,Estonia,Both,<1 year,Years,1991,69.51794414635383,69.68579346428773,69.34961683092105
Life expectancy,Latvia,Male,<1 year,Years,1991,63.95569393091447,64.11368055598372,63.800544297325494
