measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Western Europe,Both,<1 year,Years,2001,78.89160004111017,78.90701950389655,78.87648173532799
Life expectancy,Central Europe,Male,<1 year,Years,1992,66.87824749760726,66.96507997724973,66.79540225186143
Life expectancy,Central Europe,Female,<1 year,Years,1992,75.00544220340814,75.09178605325829,74.9182593732357
Life expectancy,Central Europe,Both,<1 year,Years,1992,70.84103332561966,70.90911223558093,70.77756996052634
Life expectancy,Eastern Europe,Male,<1 year,Years,1992,62.8676303426515,62.92556662462498,62.80990176018867
Life expectancy,Eastern Europe,Female,<1 year,Years,1992,74.01946419263497,74.0727088604106,73.96634504115995
Life expectancy,Eastern Europe,Both,<1 year,Years,1992,68.49366618227269,68.54093156432646,68.4469715933227
Life expectancy,Western Europe,Male,<1 year,Years,1992,73.40389350492542,73.42285400506516,73.38540095222507
Life expectancy,Western Europe,Female,<1 year,Years,1992,79.97191884558416,79.99332878193898,79.9504322666041
Life expectancy,Western Europe,Both,<1 year,Years,1992,76.74731482978356,76.76344619890968,76.73229258042254
Life expectancy,Central Europe,Male,<1 year,Years,2013,72.9165967697798,72.9624142571743,72.87110066298231
Life expectancy,Central Europe,Female,<1 year,Years,2013,79.77899849701456,79.82154116545433,79.73450773907709
Life expectancy,Central Europe,Both,<1 year,Years,2013,76.35318065109216,76.38794763644849,76.3191751142586
Life expectancy,Eastern Europe,Male,<1 year,Years,2013,65.69942607990077,65.71788707660619,65.67965052455254
Life expectancy,Eastern Europe,Female,<1 year,Years,2013,76.4924999567434,76.51258518852613,76.47373684902766
Life expectancy,Eastern Europe,Both,<1 year,Years,2013,71.15635137167742,71.1702730669509,71.14089299150413
Life expectancy,Central Europe,Male,<1 year,Years,2012,72.52858286519864,72.57357402018631,72.48227459820988
Life expectancy,Central Europe,Female,<1 year,Years,2012,79.53548261478883,79.57716323861808,79.49408726788123
Life expectancy,Central Europe,Both,<1 year,Years,2012,76.02991354879507,76.06253512131016,75.99749605512443
Life expectancy,Eastern Europe,Male,<1 year,Years,2012,65.23237159893655,65.2508670993258,65.21410633909244
Life expectancy,Eastern Europe,Female,<1 year,Years,2012,76.16148459900306,76.18070041260451,76.14076599301468
Life expectancy,Eastern Europe,Both,<1 year,Years,2012,70.74195967742988,70.75580748645248,70.7271864737201
Life expectancy,Western Europe,Male,<1 year,Years,2012,78.8710017419823,78.88964814262427,78.8523482338618
Life expectancy,Western Europe,Female,<1 year,Years,2012,83.78661874710791,83.80668477632216,83.76541574927279
Life expectancy,Western Europe,Both,<1 year,Years,2012,81.37946977009678,81.39372643285387,81.36466186428477
Life expectancy,Central Europe,Male,<1 year,Years,2010,71.86325251124894,71.89713315682478,71.82373920556188
Life expectancy,Central Europe,Female,<1 year,Years,2010,79.14937528586327,79.18879227086845,79.10808985024903
Life expectancy,Central Europe,Both,<1 year,Years,2010,75.4922881351864,75.52184232816835,75.46163413941338
Life expectancy,Eastern Europe,Male,<1 year,Years,2010,63.19584340123183,63.21344024927053,63.17784316813738
Life expectancy,Eastern Europe,Female,<1 year,Years,2010,74.89300594083203,74.91253166811339,74.87447170904461
Life expectancy,Eastern Europe,Both,<1 year,Years,2010,68.98149027249312,68.99587620801198,68.96734825530828
Life expectancy,Central Europe,Male,<1 year,Years,2004,70.22973875427779,70.26899562493568,70.18818345410052
Life expectancy,Central Europe,Female,<1 year,Years,2004,77.68242511671491,77.72472279942322,77.63989166463632
Life expectancy,Central Europe,Both,<1 year,Years,2004,73.93175134791933,73.96527948323453,73.89844672446654
Life expectancy,Eastern Europe,Male,<1 year,Years,2004,60.17608755983849,60.19734634032153,60.15517444525983
Life expectancy,Eastern Europe,Female,<1 year,Years,2004,72.95807779710509,72.97916134200007,72.93829857663516
Life expectancy,Eastern Europe,Both,<1 year,Years,2004,66.31006531898865,66.32508178839434,66.29511705358392
Life expectancy,Western Europe,Male,<1 year,Years,2004,76.8161981273482,76.8343799269023,76.79816592262594
Life expectancy,Western Europe,Female,<1 year,Years,2004,82.44401808438364,82.46483144073908,82.42380085080616
Life expectancy,Western Europe,Both,<1 year,Years,2004,79.6931851934512,79.70745409505395,79.6791095969672
Life expectancy,Central Europe,Male,<1 year,Years,2005,70.41312540300994,70.4509484912779,70.37617916818208
Life expectancy,Central Europe,Female,<1 year,Years,2005,77.8361996054663,77.87293171713338,77.79610855065434
Life expectancy,Central Europe,Both,<1 year,Years,2005,74.10021803292103,74.13282915673368,74.07046568186225
Life expectancy,Eastern Europe,Male,<1 year,Years,2005,59.644998902286815,59.66275692710617,59.625929902621095
Life expectancy,Eastern Europe,Female,<1 year,Years,2005,72.7317168415274,72.75381413786145,72.71219975251208
Life expectancy,Eastern Europe,Both,<1 year,Years,2005,65.8875862933476,65.90233118399712,65.87231317341497
Life expectancy,Western Europe,Male,<1 year,Years,2005,77.11704933848907,77.13641884111173,77.09633477029188
Life expectancy,Western Europe,Female,<1 year,Years,2005,82.67360064844489,82.69492006930476,82.65206280291099
Life expectancy,Western Europe,Both,<1 year,Years,2005,79.95736199381876,79.97275795199437,79.9418115404056
Life expectancy,Central Europe,Male,<1 year,Years,1996,67.8592335478321,67.90958296917444,67.80628172358954
Life expectancy,Central Europe,Female,<1 year,Years,1996,75.60005039079272,75.65316023349187,75.54846273649511
Life expectancy,Central Europe,Both,<1 year,Years,1996,71.66174538730117,71.7020602286168,71.61916022246429
Life expectancy,Eastern Europe,Male,<1 year,Years,1996,60.578711925612964,60.618090994691784,60.53574185628661
Life expectancy,Eastern Europe,Female,<1 year,Years,1996,72.7232059081487,72.765951167387,72.68050128042408
Life expectancy,Eastern Europe,Both,<1 year,Years,1996,66.50275975796393,66.53585820009926,66.46929016419716
Life expectancy,Western Europe,Male,<1 year,Years,1996,74.35082250049362,74.3687890466736,74.33301544822058
Life expectancy,Western Europe,Female,<1 year,Years,1996,80.72077042832372,80.74015290400685,80.70115692758398
Life expectancy,Western Europe,Both,<1 year,Years,1996,77.5934036596405,77.60777359221058,77.57897601652294
Life expectancy,Central Europe,Male,<1 year,Years,1991,67.14631561217813,67.20576875381423,67.08792009696529
Life expectancy,Central Europe,Female,<1 year,Years,1991,75.08654374393942,75.14795525092198,75.02031979484238
Life expectancy,Central Europe,Both,<1 year,Years,1991,71.02793870486546,71.07687028768731,70.98178749649449
Life expectancy,Eastern Europe,Male,<1 year,Years,1991,64.10902013942689,64.16574227005476,64.04661432681009
Life expectancy,Eastern Europe,Female,<1 year,Years,1991,74.47285582959664,74.5267441547418,74.4172558605642
Life expectancy,Eastern Europe,Both,<1 year,Years,1991,69.44361838722895,69.49252340788813,69.391744886038
Life expectancy,Western Europe,Male,<1 year,Years,2013,79.04855990818308,79.06835322280288,79.02929256891656
Life expectancy,Western Europe,Female,<1 year,Years,2013,83.90302230042738,83.9249305004761,83.88165919926944
